epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6581.65,0.19989,0.65947,1.00897,0.9578,0.95634,0.98617,0.9853,0.19187,0.40859,0.29144,0.0668594,0.000166536,0.000166536
2,17102.9,0.13968,0.40987,0.96188,0.99744,0.97505,0.99194,0.99152,0.15851,0.34546,0.25911,0.0335817,0.00022214,0.00022214
3,24130.9,0.10482,0.33067,0.93753,0.99411,0.99916,0.995,0.995,0.15501,0.31875,0.22203,0.000192845,0.00016664,0.00016664
